Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Attending but DB had T/W,003f400000KvxRLAAZ,001f400000LvhOvAAJ,2015-09-03,,2016-04-13,Attending,Bachelor's,NSC,,,2041,003f400000KvxRLAAZ,001f400000LvhOvAAJ,2015-09-03,2016-12-17,2018-11-28,Transferred out,Bachelor's,Coordinator Verified,,,a02f4000006n72nAAA,,,959
Attending but DB had T/W,003f400000KvxRLAAZ,001f400000LvhyrAAB,2017-04-10,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2040,003f400000KvxRLAAZ,001f400000LvhyrAAB,2017-04-10,2018-06-29,2018-11-28,Withdrew,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n72oAAA,,,960
Perfect Match,003f400000TlTK1AAN,001f400000Lvhz1AAB,2018-07-02,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1131,003f400000TlTK1AAN,001f400000Lvhz1AAB,2018-07-02,,2016-04-13,Attending,Associate's,NSC,,,a02f400000EtfvsAAB,,,2724
Perfect Match,003f400000KvxX7AAJ,001f400000LvhPOAAZ,2017-09-28,,2016-04-13,Attending,Bachelor's,NSC,,,1387,003f400000KvxX7AAJ,001f400000LvhPOAAZ,2017-09-28,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n6t5AAA,,,561
Perfect Match,003f40000169i0AAAQ,001f400000LvhP5AAJ,2019-09-04,,2016-04-13,Attending,Bachelor's,NSC,,,118,003f40000169i0AAAQ,001f400000LvhP5AAJ,2019-09-04,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGeXAAV,,,3487
Perfect Match,003f400000KvxNEAAZ,001f400000Lvhz1AAB,2018-07-02,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2572,003f400000KvxNEAAZ,001f400000Lvhz1AAB,2018-07-02,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhyMAAR,,,1981
Perfect Match,003f400000KvxNEAAZ,001f400000LvhQWAAZ,2016-08-12,2016-08-12,2016-04-13,Graduated,Certificate,NSC,CERTIFICATE,CLINICAL MEDICAL ASST.-CE,2570,003f400000KvxNEAAZ,001f400000LvhQWAAZ,2016-08-12,2016-08-12,2016-04-13,Graduated,Certificate,NSC,CERTIFICATE,CLINICAL MEDICAL ASST.-CE,a02f4000006n6knAAA,,,242
Attending but DB had T/W,003f400000KvxNEAAZ,001f400000LvhyZAAR,2014-08-18,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,2571,003f400000KvxNEAAZ,001f400000LvhyZAAR,2014-08-18,2017-12-06,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6koAAA,,,243
Perfect Match,003f40000169hytAAA,001f400000LvhsiAAB,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,202,003f40000169hytAAA,001f400000LvhsiAAB,2019-08-26,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGfyAAF,,,3576
Perfect Match,003f400000KvxX0AAJ,001f400000LviF1AAJ,2019-08-26,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1398,003f400000KvxX0AAJ,001f400000LviF1AAJ,2019-08-26,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KbGe1AAF,,,3455
Perfect Match,003f400000KvxX0AAJ,001f400000LviF1AAJ,2017-08-28,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1397,003f400000KvxX0AAJ,001f400000LviF1AAJ,2017-08-28,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6srAAA,,,552
Perfect Match,003f400000TlTMpAAN,001f400000Lvhz1AAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,928,003f400000TlTMpAAN,001f400000Lvhz1AAB,2018-09-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhyhAAB,,,1997
(NSC only) New attending enrollment,003f400000TlTMpAAN,001f400000LvhKOAAZ,2019-08-24,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,927
(NSC only) New attending enrollment,003f400000TlTMpAAN,001f400000Lvi06AAB,2020-01-27,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,926
Perfect Match,003f400000Kvxe5AAB,001f400000LvhyrAAB,2019-04-08,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3868,003f400000Kvxe5AAB,001f400000LvhyrAAB,2019-04-08,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCJEAA5,,,3043
Perfect Match,003f400000Kvxe5AAB,001f400000LvhyxAAB,2018-06-18,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3867,003f400000Kvxe5AAB,001f400000LvhyxAAB,2018-06-18,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFVlAAN,,,2670
Perfect Match,003f400000Kvxe5AAB,001f400000LvhQYAAZ,2019-08-21,,2016-04-13,Attending,Bachelor's,NSC,,,3866,003f400000Kvxe5AAB,001f400000LvhQYAAZ,2019-08-21,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000KbGY5AAN,,,3087
Perfect Match,003f400000Kvxe5AAB,001f400000LvhQWAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,3865,003f400000Kvxe5AAB,001f400000LvhQWAAZ,2017-08-23,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7LBAAY,,,1697
Perfect Match,003f400000KvxUCAAZ,001f400000LvhPLAAZ,2016-08-17,,2016-04-13,Attending,Bachelor's,NSC,,,1719,003f400000KvxUCAAZ,001f400000LvhPLAAZ,2016-08-17,,2016-04-13,Attending,Bachelor's,NSC,,,a02f4000006n7PDAAY,,,1850
Perfect Match,003f400000KvxUCAAZ,001f400000LvhKLAAZ,2018-08-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,1718,003f400000KvxUCAAZ,001f400000LvhKLAAZ,2018-08-20,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli14AAB,,,2133
Perfect Match,003f400000TlTScAAN,001f400000LvhyZAAR,2018-08-15,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,642,003f400000TlTScAAN,001f400000LvhyZAAR,2018-08-15,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhxTAAR,,,1927
Perfect Match,003f400000TlTPuAAN,001f400000LvhPNAAZ,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,787,003f400000TlTPuAAN,001f400000LvhPNAAZ,2018-09-24,,2016-04-13,Attending,Bachelor's,NSC,,,a02f400000Bli2tAAB,,,2244
Perfect Match,003f400000TlTPuAAN,001f400000LvhzcAAB,2019-05-29,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,786,003f400000TlTPuAAN,001f400000LvhzcAAB,2019-05-29,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000KZCJWAA5,,,3060
Attending but DB had T/W,003f400000KvxdHAAR,001f400000LvhzGAAR,2017-08-14,,2016-04-13,Attending,Associate's or Certificate (TBD),NSC,,,3935,003f400000KvxdHAAR,001f400000LvhzGAAR,2017-08-14,2017-12-15,2018-11-28,Transferred out,Associate's or Certificate (TBD),Coordinator Verified,,,a02f4000006n6o0AAA,,,380
Unreported left college (was Attending),003f400000KvxdHAAR,001f400000LvhyxAAB,2018-01-29,2019-11-25,2016-04-13,Withdrew,Associate's or Certificate (TBD),NSC,,,3936,003f400000KvxdHAAR,001f400000LvhyxAAB,2018-01-29,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BmFVTAA3,,,2652
